"","motif","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","motif.name"
"99","MA0063.2",2.0265496360245e-34,3.27021113122179,0.873,0.483,1.28280591960351e-31,"AT2 cells","NKX2-5"
"100","MA0063.2",1.96212509745944e-24,1.07677630053969,0.788,0.483,1.24202518669183e-21,"Club cells_3","NKX2-5"
"101","MA0066.1",6.32785508031751e-29,0.650116379624136,0.612,0.464,4.00553226584099e-26,"NE_2","PPARG"
"102","MA0068.2",5.97198621871629e-22,1.2838068942664,0.656,0.491,3.78026727644741e-19,"NE_6","PAX4"
"103","MA0068.2",4.28549271244729e-39,0.504189477546429,0.658,0.479,2.71271688697913e-36,"NE_3","PAX4"
"104","MA0068.2",3.53649509055132e-15,0.848949353838781,0.751,0.495,2.23860139231899e-12,"NE_7","PAX4"
"105","MA0068.2",4.63563723312432e-06,1.68930266701048,0.71,0.498,0.00293435836856769,"NE_8","PAX4"
"106","MA0068.2",1.30074994100682e-61,2.04671914860238,0.839,0.486,8.23374712657315e-59,"NFIB high_NE","PAX4"
"107","MA0069.1",4.61765655683746e-27,1.03373040828939,0.708,0.484,2.92297660047811e-24,"NFIB high_NE","PAX6"
"108","MA0070.1",5.92676744721126e-168,2.5333772228141,0.84,0.478,3.75164379408473e-165,"NE_3","PBX1"
"109","MA0070.1",2.45201167628363e-14,1.32944901834053,0.81,0.518,1.55212339108754e-11,"NE_8","PBX1"
"110","MA0070.1",4.44050183356606e-20,1.24466102832574,0.825,0.515,2.81083766064731e-17,"NE_7","PBX1"
"111","MA0070.1",1.6462890939196e-07,1.21155044807728,0.636,0.514,0.00010421009964511,"NE_6","PBX1"
"112","MA0071.1",2.25728169195166e-36,1.80211875936898,0.826,0.488,1.4288593110054e-33,"Club cells_3","RORA"
"113","MA0071.1",1.23776724680007e-07,0.538867703392175,0.601,0.489,7.83506667224445e-05,"Club cell_2","RORA"
"114","MA0071.1",1.32068965039086e-21,0.548984708083682,0.619,0.478,8.35996548697413e-19,"NE_3","RORA"
"115","MA0072.1",6.07153681752165e-39,0.86660829731792,0.638,0.474,3.84328280549121e-36,"NE_3","RORA(var.2)"
"116","MA0073.1",5.37928662222972e-21,0.919053090053692,0.777,0.474,3.40508843187141e-18,"Club cells_3","RREB1"
"117","MA0073.1",3.4515291605223e-194,1.21844325883525,0.795,0.422,2.18481795861062e-191,"Club cells_1","RREB1"
"118","MA0073.1",1.93241163610469e-11,0.696534125305214,0.75,0.478,1.22321656565427e-08,"Cilliated cells","RREB1"
"119","MA0073.1",7.94853936769372e-61,0.956355413306552,0.807,0.463,5.03142541975013e-58,"Club cell_2","RREB1"
"120","MA0074.1",1.5216294320091e-10,0.781471024231219,0.761,0.477,9.63191430461763e-08,"Cilliated cells","RXRA::VDR"
"121","MA0074.1",1.17912405521765e-28,1.24669745825501,0.804,0.473,7.46385526952773e-26,"Club cells_3","RXRA::VDR"
"122","MA0074.1",1.12776391629501e-173,1.33318115435073,0.772,0.425,7.13874559014744e-171,"Club cells_1","RXRA::VDR"
"123","MA0074.1",1.90446793463925e-51,1.37931791401246,0.766,0.464,1.20552820262664e-48,"Club cell_2","RXRA::VDR"
"124","MA0075.3",5.97198621871629e-22,1.2838068942664,0.656,0.491,3.78026727644741e-19,"NE_6","PRRX2"
"125","MA0075.3",3.53649509055132e-15,0.848949353838781,0.751,0.495,2.23860139231899e-12,"NE_7","PRRX2"
"126","MA0075.3",1.30074994100682e-61,2.04671914860238,0.839,0.486,8.23374712657315e-59,"NFIB high_NE","PRRX2"
"127","MA0075.3",4.28549271244729e-39,0.504189477546429,0.658,0.479,2.71271688697913e-36,"NE_3","PRRX2"
"128","MA0075.3",4.63563723312432e-06,1.68930266701048,0.71,0.498,0.00293435836856769,"NE_8","PRRX2"
"129","MA0076.2",3.51461664867907e-27,7.48800511797885,1,0.458,2.22475233861385e-24,"Endothelial cells","ELK4"
"130","MA0077.1",3.5539909645353e-05,0.566340390524742,0.68,0.52,0.0224967628055084,"NE_8","SOX9"
"131","MA0077.1",1.56292998150902e-18,3.4645946124447,0.952,0.52,9.89334678295209e-16,"Endothelial cells","SOX9"
"132","MA0077.1",1.58718020941164e-64,2.78183334136906,0.873,0.507,1.00468507255757e-61,"NFIB high_NE","SOX9"
"133","MA0077.1",1.23457700365278e-56,0.601671756734388,0.707,0.497,7.81487243312207e-54,"NE_3","SOX9"
"134","MA0079.4",2.65470311885324e-12,1.53042495844012,0.612,0.479,1.6804270742341e-09,"NE_6","SP1"
"135","MA0079.4",4.94508655230401e-18,0.73480879119572,0.761,0.482,3.13023978760844e-15,"AT2 cells","SP1"
"136","MA0079.4",3.89884786236577e-17,1.00944508935734,0.826,0.483,2.46797069687753e-14,"Cilliated cells","SP1"
"137","MA0079.4",5.08726856398583e-34,0.819053379224902,0.716,0.474,3.22024100100303e-31,"Club cell_2","SP1"
"138","MA0083.3",0.0027693321535632,0.576063021851496,0.539,0.486,1,"NE_6","SRF"
"139","MA0083.3",1.19366612046474e-05,0.516424448187484,0.625,0.486,0.00755590654254181,"Club cells_3","SRF"
"140","MA0083.3",9.39282372580506e-06,2.62644354873073,0.774,0.488,0.0059456574184346,"Stromal cells","SRF"
"141","MA0083.3",2.42880290146452e-16,0.705522231946595,0.663,0.482,1.53743223662704e-13,"NFIB high_NE","SRF"
"142","MA0084.1",4.94083661639502e-50,0.750793288878958,0.672,0.472,3.12754957817805e-47,"NE_3","SRY"
"143","MA0084.1",1.2119302383594e-34,0.877772138013438,0.782,0.484,7.671518408815e-32,"NFIB high_NE","SRY"
